Fecha,Demanda_Real,Prediccion_RF,Prediccion_LSTM,Temperatura,Humedad,Velocidad_Viento,Error_RF
2018-12-18 12:00:00,36525.0,36098.97999999999,35490.1329253912,10.348000000000036,60.2,3.2,1.166379192334049
2018-12-18 13:00:00,35318.0,35559.13,35266.544296622276,11.054000000000007,59.8,3.4,0.6827396794835421
2018-12-18 14:00:00,34890.0,34840.77999999999,34596.46308887005,12.034000000000015,58.8,1.8,0.14107194038408838
2018-12-18 15:00:00,34799.0,34675.579999999994,34569.44978117943,12.706000000000028,57.0,2.4,0.3546653639472558
2018-12-18 16:00:00,35776.0,35190.73000000001,35028.62260699272,12.794000000000016,59.0,3.2,1.6359291144901318
2018-12-18 17:00:00,37183.0,37304.69,36199.65572595596,11.684000000000015,64.6,2.4,0.3272732162547463
2018-12-18 18:00:00,37454.0,37775.29,37399.71099948883,10.520000000000005,71.0,1.4,0.8578255994019353
2018-12-18 19:00:00,37579.0,37059.729999999996,37606.98510766029,9.536000000000012,74.6,1.8,1.3818089890630514
2018-12-18 20:00:00,36681.0,36489.56,36519.492357850075,9.612000000000013,80.2,1.4,0.5219050734712858
2018-12-18 21:00:00,33880.0,34104.80000000001,34277.628826379776,9.484000000000014,79.4,1.2,0.6635182998819663
2018-12-18 22:00:00,30489.0,30722.01,30648.40661728382,9.42800000000002,86.0,1.0,0.7642428416806009
2018-12-18 23:00:00,28144.0,27536.160000000003,27517.711187958717,9.548000000000012,82.6,3.0,2.1597498578737793
2018-12-19 00:00:00,26046.000000000004,26000.059999999998,25907.354759156704,9.574000000000012,84.2,2.0,0.1763802503263686
2018-12-19 01:00:00,24799.999999999996,24821.179999999997,24760.786574304104,9.454000000000008,84.6,1.6,0.08540322580645279
2018-12-19 02:00:00,24218.0,24391.8,24202.17103523016,8.796666666666681,87.0,1.3333333333333333,0.7176480303906155
2018-12-19 03:00:00,24141.999999999996,24189.759999999995,24182.370816111565,8.931666666666672,86.16666666666667,1.3333333333333333,0.19782950873994867
2018-12-19 04:00:00,24754.0,24734.489999999998,25090.905024051666,9.734000000000014,81.4,3.0,0.07881554496243855
2018-12-19 05:00:00,27642.0,27201.239999999994,27244.420373558998,9.830000000000018,81.8,2.4,1.5945300629477088
2018-12-19 06:00:00,32381.0,32515.590000000004,30970.21923148632,10.310000000000013,79.0,2.0,0.41564497699269254
2018-12-19 07:00:00,35277.0,35106.63999999999,34251.51929438114,10.53333333333336,81.33333333333333,3.6666666666666665,0.48292088329508703
2018-12-19 08:00:00,36093.0,36314.8,36008.05527925491,9.716666666666688,85.16666666666667,2.8333333333333335,0.6145235918322193
2018-12-19 09:00:00,36394.0,36583.05,36185.85671436787,9.130000000000015,82.16666666666667,3.8333333333333335,0.5194537561136531
2018-12-19 10:00:00,36109.0,36236.03,35853.90674948692,11.258000000000015,74.2,4.6,0.35179595114791007
2018-12-19 11:00:00,35593.0,35767.590000000004,35316.66139745712,12.248000000000014,71.2,3.6,0.4905177984435248
2018-12-19 12:00:00,35229.0,35201.18,34741.15620779991,13.786000000000024,59.0,5.4,0.07896903119588893
2018-12-19 13:00:00,34226.0,34150.799999999996,34465.74836730957,13.898000000000025,56.4,5.2,0.2197160053760427
2018-12-19 14:00:00,33710.0,33675.409999999996,33853.21302270889,14.050000000000022,54.2,5.2,0.10261050133492668
2018-12-19 15:00:00,33574.0,33638.13,33571.84574007988,14.328000000000031,52.8,5.6,0.19101090129265913
2018-12-19 16:00:00,34426.0,34067.75,33811.414766311646,13.760000000000037,53.8,4.4,1.0406378899668853
2018-12-19 17:00:00,36288.0,36040.969999999994,35212.14110803604,12.074000000000023,63.8,4.0,0.6807484567901403
2018-12-19 18:00:00,36610.0,37145.31999999999,36806.86016333103,10.590000000000021,66.4,1.8,1.4622234362195916
2018-12-19 19:00:00,36694.0,36621.090000000004,36884.16174149513,9.912000000000011,70.6,1.8,0.19869733471411188
2018-12-19 20:00:00,35971.0,35939.11499999999,35480.874701976776,9.622000000000025,71.2,1.4,0.08864084957329324
2018-12-19 21:00:00,33405.0,33602.93,33462.618970274925,9.008000000000015,72.6,1.8,0.5925160904056288
2018-12-19 22:00:00,30292.000000000004,30309.99,30057.82891392708,8.698000000000013,75.2,1.6,0.059388617456747526
2018-12-19 23:00:00,27987.0,26904.929999999997,27278.12093669176,8.292000000000007,75.2,1.4,3.866330796441217
2018-12-20 00:00:00,25935.0,26022.639999999996,25985.84083122015,7.638000000000022,79.8,1.6,0.33792172739539533
2018-12-20 01:00:00,24684.0,24789.999999999996,24785.85471022129,7.20200000000001,82.4,1.8,0.42942796953490664
2018-12-20 02:00:00,24040.0,24169.58,24072.90714752674,7.082000000000005,82.0,2.2,0.5390183028286262
2018-12-20 03:00:00,23989.000000000004,23897.249999999996,23952.676908671856,7.518000000000018,81.8,1.6,0.38246696402520847
2018-12-20 04:00:00,24642.000000000004,24564.91,24944.62482023239,7.0380000000000225,86.0,1.6,0.3128398668939362
2018-12-20 05:00:00,27262.000000000004,27338.129999999997,27062.938106536865,6.9200000000000275,85.2,1.8,0.2792531729146568
2018-12-20 06:00:00,31875.999999999996,31757.639999999996,30614.34112048149,7.360000000000025,81.8,1.8,0.37131384113439764
2018-12-20 07:00:00,34912.0,34774.06999999999,33841.374930500984,7.616000000000031,80.0,1.6,0.395079055912029
2018-12-20 08:00:00,35642.0,35853.29,35741.430495262146,7.746000000000015,79.2,2.0,0.5928118511868046
2018-12-20 09:00:00,35712.0,35855.13,36000.90312707424,7.471666666666683,84.33333333333333,2.1666666666666665,0.40078965053762705
2018-12-20 10:00:00,35514.0,35478.01,35300.39480435848,8.816666666666691,80.66666666666667,2.5,0.10134031649489768
2018-12-20 11:00:00,35180.0,35233.31,34652.81898069382,11.28000000000003,72.0,2.2,0.15153496304717928
2018-12-20 12:00:00,34710.0,34879.22000000001,34239.002001047134,12.558000000000026,65.4,2.8,0.48752520887354783
2018-12-20 13:00:00,33505.0,33787.97,33864.900485634804,13.78000000000003,59.6,2.2,0.844560513356219
2018-12-20 14:00:00,33053.0,33013.389999999985,33094.36734843254,14.422000000000025,55.6,2.6,0.1198378362025085
2018-12-20 15:00:00,32899.0,32987.020000000004,32935.968334198,14.672000000000015,56.0,2.0,0.26754612602207994
2018-12-20 16:00:00,33647.0,33089.21,33190.95906019211,14.47800000000002,57.0,2.0,1.6577703807174513
2018-12-20 17:00:00,35657.0,35623.979999999996,34292.83142900467,13.192000000000018,64.0,1.8,0.09260453767844763
2018-12-20 18:00:00,35967.0,36430.38,35942.997123003006,11.556000000000017,70.2,2.0,1.288347652014339
2018-12-20 19:00:00,36154.0,35950.979999999996,36135.51366961002,10.086000000000023,74.2,1.8,0.5615422913094099
2018-12-20 20:00:00,35422.0,35787.034999999996,35169.84714436531,9.212000000000012,77.0,2.2,1.0305318728473722
2018-12-20 21:00:00,33081.0,32975.06999999999,33124.821850538254,8.470000000000017,80.2,2.8,0.32021402013242517
2018-12-20 22:00:00,30075.0,30397.609999999993,29945.48685669899,8.392000000000019,80.6,2.6,1.072684954280942
2018-12-20 23:00:00,27831.0,27720.219999999998,27116.804507136345,8.194000000000017,83.6,2.8,0.39804534511876133
