Fecha,Demanda_Real,Prediccion_RF,Prediccion_LSTM,Temperatura,Humedad,Velocidad_Viento
2018-05-18 12:00:00,31070.000000000004,31010.759999999995,31434.04924082756,20.824000000000012,53.8,3.4
2018-05-18 13:00:00,30083.0,30401.440000000002,30463.944629192352,21.208000000000016,51.8,3.0
2018-05-18 14:00:00,29600.0,29862.760000000002,29711.656806111336,21.315000000000015,57.0,4.5
2018-05-18 15:00:00,29422.0,29400.319999999996,29530.42923951149,21.31333333333336,60.333333333333336,4.833333333333333
2018-05-18 16:00:00,28958.0,29115.159999999996,29742.383810281754,19.998333333333353,66.5,3.5
2018-05-18 17:00:00,28859.0,28930.030000000002,29526.577237963676,20.51200000000001,63.0,2.8
2018-05-18 18:00:00,29091.000000000004,29266.099999999995,29518.96087372303,20.325000000000017,62.333333333333336,3.6666666666666665
2018-05-18 19:00:00,29898.0,30146.19,29362.04487323761,18.664000000000023,68.4,2.6
2018-05-18 20:00:00,28774.0,28228.779999999995,28634.619097828865,18.156000000000027,72.2,1.6
2018-05-18 21:00:00,26726.0,26733.920000000002,26493.869579970837,16.822000000000013,74.8,1.4
2018-05-18 22:00:00,25392.999999999996,25251.960000000006,25129.105979323387,16.044000000000004,81.0,1.8
2018-05-18 23:00:00,24071.0,24040.760000000002,24008.01879155636,15.746000000000004,84.4,1.0
2018-05-19 00:00:00,23000.999999999996,23082.55,22966.0783906579,15.00000000000001,86.2,1.2
2018-05-19 01:00:00,22364.0,22528.850000000002,22317.279046416283,14.23800000000001,88.4,1.2
2018-05-19 02:00:00,22095.0,22130.95,22048.31197708845,13.756000000000018,90.6,1.2
2018-05-19 03:00:00,21908.0,21941.510000000002,22060.78921672702,13.192000000000007,90.6,1.8
2018-05-19 04:00:00,21979.0,22079.719999999998,22307.804806917906,12.486,91.8,1.6
2018-05-19 05:00:00,22444.0,22419.68,22884.080602288246,11.90200000000001,90.6,1.6
2018-05-19 06:00:00,24467.000000000004,23970.100000000002,23584.81007617712,12.770000000000016,87.8,1.4
2018-05-19 07:00:00,26715.0,26511.609999999997,25661.4764200449,14.413333333333346,79.16666666666667,1.1666666666666667
